,n_rows,limit_min,limit_max,max_cards,value,elapsed
0,10,0,10,10,78,0.0009676230001787189
1,10,-10,10,10,71,0.000876870999491075
2,10,-100,100,10,678,0.0009036019982886501
3,10,-10000,-10000,10,0,4.751999949803576e-05
4,100,0,10,100,860,0.12462210800003959
5,100,-10,10,100,687,0.12256732500100043
6,100,-100,100,100,6605,0.1219941290000861
7,100,-10000,-10000,100,0,0.0003030240004591178
