,n_rows,limit_min,limit_max,max_cards,value,elapsed
0,10,0,10,10,78,0.0010850859980564564
1,10,-10,10,10,71,0.0010475739982211962
2,10,-100,100,10,678,0.0010852759987756144
3,10,-10000,-10000,10,0,0.0010416130025987513
4,100,0,10,100,860,0.22520735299985972
5,100,-10,10,100,687,0.1948126070019498
6,100,-100,100,100,6605,0.2786758069996722
7,100,-10000,-10000,100,0,0.20938941900021746
