iter,eval_mean,eval_std
0,234240.0,0.0
1,234240.0,0.0
2,234240.0,0.0
3,234456.66666666666,226.61322899503367
4,234489.33333333334,222.01551497336598
5,234579.66666666666,345.52793744581
6,235519.33333333334,286.59417688121687
7,236069.33333333334,909.1066432981826
8,236069.33333333334,909.1066432981826
9,236203.0,838.0059665658712
10,236981.33333333334,725.2426413889967
11,237029.66666666666,760.3158700318061
12,237203.66666666666,898.8193490475281
13,237203.66666666666,898.8193490475281
14,237208.33333333334,903.1649289520097
15,237208.33333333334,903.1649289520097
16,237464.33333333334,552.796727760053
17,237464.33333333334,552.796727760053
18,237598.0,705.9891406152552
19,237660.66666666666,713.2013896664968
20,237869.0,738.5986731642564
21,238052.66666666666,479.8265890460382
22,238143.0,564.6951980198403
23,238419.0,756.835957567204
24,238419.0,756.835957567204
25,238731.0,1092.6783607265222
26,238731.0,1092.6783607265222
27,238731.0,1092.6783607265222
28,238731.0,1092.6783607265222
29,238731.0,1092.6783607265222
30,238878.0,916.1779303170318
31,238878.0,916.1779303170318
32,238878.0,916.1779303170318
33,238878.0,916.1779303170318
34,239339.66666666666,536.5111575934113
35,239388.0,528.5849033031495
36,239895.33333333334,216.6569228578266
37,240031.0,25.152865973217974
38,240031.0,25.152865973217974
39,240107.33333333334,118.8201254932102
40,240875.0,435.99617735327297
41,240875.0,435.99617735327297
42,240875.0,435.99617735327297
43,240909.33333333334,469.9037726551635
44,240909.33333333334,469.9037726551635
45,241086.0,673.3651807649893
46,241086.0,673.3651807649893
47,241086.0,673.3651807649893
48,241317.33333333334,742.1151453035363
49,241356.66666666666,767.1854766323171
50,241356.66666666666,767.1854766323171
51,241515.0,875.1792197411148
52,241515.0,875.1792197411148
53,241515.0,875.1792197411148
54,241515.0,875.1792197411148
55,241515.0,875.1792197411148
56,241515.0,875.1792197411148
57,241515.0,875.1792197411148
58,241543.0,902.6464793409802
59,241543.0,902.6464793409802
60,241543.0,902.6464793409802
61,241543.0,902.6464793409802
62,241543.0,902.6464793409802
63,241543.0,902.6464793409802
64,241543.0,902.6464793409802
65,241543.0,902.6464793409802
66,241543.0,902.6464793409802
67,241543.0,902.6464793409802
68,241543.0,902.6464793409802
69,241543.0,902.6464793409802
70,241543.0,902.6464793409802
71,241627.33333333334,940.919526609771
72,241627.33333333334,940.919526609771
73,241627.33333333334,940.919526609771
74,241732.66666666666,1006.6850991689948
75,241819.0,1073.0753313102798
76,241819.0,1073.0753313102798
77,241819.0,1073.0753313102798
78,241819.0,1073.0753313102798
79,241819.0,1073.0753313102798
80,241819.0,1073.0753313102798
81,241828.66666666666,1078.7685365988182
82,241828.66666666666,1078.7685365988182
83,241828.66666666666,1078.7685365988182
84,241828.66666666666,1078.7685365988182
85,241828.66666666666,1078.7685365988182
86,241828.66666666666,1078.7685365988182
87,241828.66666666666,1078.7685365988182
88,241877.0,1119.431105517441
89,241877.0,1119.431105517441
90,241877.0,1119.431105517441
91,241877.0,1119.431105517441
92,241877.0,1119.431105517441
93,242598.0,178.19090885900997
94,242598.0,178.19090885900997
95,242598.0,178.19090885900997
96,242598.0,178.19090885900997
97,242598.0,178.19090885900997
98,242598.0,178.19090885900997
99,242598.0,178.19090885900997
100,242598.0,178.19090885900997
101,242598.0,178.19090885900997
102,242598.0,178.19090885900997
103,242598.0,178.19090885900997
104,242598.0,178.19090885900997
105,242598.0,178.19090885900997
106,242598.0,178.19090885900997
107,242598.0,178.19090885900997
108,242598.0,178.19090885900997
109,242598.0,178.19090885900997
110,242598.0,178.19090885900997
111,242598.0,178.19090885900997
112,242598.0,178.19090885900997
113,242598.0,178.19090885900997
114,242598.0,178.19090885900997
115,242598.0,178.19090885900997
116,242598.0,178.19090885900997
117,242598.0,178.19090885900997
118,242598.0,178.19090885900997
119,242598.0,178.19090885900997
120,242598.0,178.19090885900997
121,242598.0,178.19090885900997
122,242598.0,178.19090885900997
123,242598.0,178.19090885900997
124,242598.0,178.19090885900997
125,242598.0,178.19090885900997
126,242598.0,178.19090885900997
127,242598.0,178.19090885900997
128,242598.0,178.19090885900997
129,242598.0,178.19090885900997
130,242598.0,178.19090885900997
131,242598.0,178.19090885900997
132,242598.0,178.19090885900997
133,242598.0,178.19090885900997
134,242598.0,178.19090885900997
135,242598.0,178.19090885900997
136,242598.0,178.19090885900997
137,242598.0,178.19090885900997
138,242598.0,178.19090885900997
139,242607.66666666666,191.86163996194992
140,242607.66666666666,191.86163996194992
141,242607.66666666666,191.86163996194992
142,242607.66666666666,191.86163996194992
143,242607.66666666666,191.86163996194992
144,242607.66666666666,191.86163996194992
145,242607.66666666666,191.86163996194992
146,242607.66666666666,191.86163996194992
147,242607.66666666666,191.86163996194992
148,242607.66666666666,191.86163996194992
149,242607.66666666666,191.86163996194992
150,242607.66666666666,191.86163996194992
151,242607.66666666666,191.86163996194992
152,242607.66666666666,191.86163996194992
153,242607.66666666666,191.86163996194992
154,242607.66666666666,191.86163996194992
155,242607.66666666666,191.86163996194992
156,242607.66666666666,191.86163996194992
157,242607.66666666666,191.86163996194992
158,242607.66666666666,191.86163996194992
159,242607.66666666666,191.86163996194992
160,242607.66666666666,191.86163996194992
161,242607.66666666666,191.86163996194992
162,242607.66666666666,191.86163996194992
163,242607.66666666666,191.86163996194992
164,242607.66666666666,191.86163996194992
165,242607.66666666666,191.86163996194992
166,242607.66666666666,191.86163996194992
167,242607.66666666666,191.86163996194992
168,242607.66666666666,191.86163996194992
169,242607.66666666666,191.86163996194992
170,242607.66666666666,191.86163996194992
171,242607.66666666666,191.86163996194992
172,242607.66666666666,191.86163996194992
173,242607.66666666666,191.86163996194992
174,242607.66666666666,191.86163996194992
175,242607.66666666666,191.86163996194992
176,242607.66666666666,191.86163996194992
177,242607.66666666666,191.86163996194992
178,242607.66666666666,191.86163996194992
179,242607.66666666666,191.86163996194992
180,242607.66666666666,191.86163996194992
181,242607.66666666666,191.86163996194992
182,242607.66666666666,191.86163996194992
183,242607.66666666666,191.86163996194992
184,242607.66666666666,191.86163996194992
