iter,eval_mean,eval_std
0,282842.0,0.0
1,283158.3333333333,242.43257940210006
2,283159.3333333333,243.5587996539827
3,283269.3333333333,304.8074073174003
4,283746.3333333333,453.22645799006733
5,284100.6666666667,649.6421237026498
6,284118.6666666667,666.4194541644841
7,284244.6666666667,493.56548591740983
8,284436.0,281.9302514216356
9,284550.6666666667,172.8358244757788
10,284796.0,31.05908348078975
11,284803.3333333333,32.293790252754306
12,284803.3333333333,32.293790252754306
13,284892.3333333333,68.42189383198594
14,285114.0,230.43871202556224
15,285240.0,249.85195616604645
16,285240.0,249.85195616604645
17,285452.6666666667,200.6096264445508
18,285452.6666666667,200.6096264445508
19,285669.3333333333,196.39642449789037
20,285935.3333333333,370.8344943802049
21,286101.0,424.5476023565163
22,286101.0,424.5476023565163
23,286101.0,424.5476023565163
24,286334.0,333.0145141982053
25,286390.0,356.09362064865286
26,286533.0,297.6205638056618
27,286675.0,449.64207988132074
28,286966.0,617.6034326329477
29,287031.0,683.9254345321572
30,287219.3333333333,780.2261780335808
31,287233.3333333333,790.1161658614229
32,287242.3333333333,796.443064854956
33,287244.6666666667,793.1432545399489
34,287258.0,802.7955322911723
35,287258.0,802.7955322911723
36,287319.3333333333,851.1757880850595
37,287443.0,677.6385467194144
38,287443.0,677.6385467194144
39,287443.0,677.6385467194144
40,287523.6666666667,676.1589228050525
41,287523.6666666667,676.1589228050525
42,287523.6666666667,676.1589228050525
43,287523.6666666667,676.1589228050525
44,287549.3333333333,640.4047331353995
45,287549.3333333333,640.4047331353995
46,287549.3333333333,640.4047331353995
47,287549.3333333333,640.4047331353995
48,287551.3333333333,641.3679824319959
49,287551.3333333333,641.3679824319959
50,287551.3333333333,641.3679824319959
51,287871.0,281.3550544537394
52,287875.6666666667,281.28317088340395
53,287875.6666666667,281.28317088340395
54,288058.3333333333,381.0304741385159
55,288058.3333333333,381.0304741385159
56,288058.3333333333,381.0304741385159
57,288058.3333333333,381.0304741385159
58,288087.3333333333,395.7156667215602
59,288087.3333333333,395.7156667215602
60,288087.3333333333,395.7156667215602
61,288087.3333333333,395.7156667215602
62,288087.3333333333,395.7156667215602
63,288087.3333333333,395.7156667215602
64,288132.3333333333,436.3495031381254
65,288132.3333333333,436.3495031381254
66,288132.3333333333,436.3495031381254
67,288132.3333333333,436.3495031381254
68,288132.3333333333,436.3495031381254
69,288132.3333333333,436.3495031381254
70,288132.3333333333,436.3495031381254
71,288132.3333333333,436.3495031381254
72,288320.6666666667,186.64821337359635
73,288345.6666666667,218.41296257828247
74,288345.6666666667,218.41296257828247
75,288345.6666666667,218.41296257828247
76,288345.6666666667,218.41296257828247
77,288345.6666666667,218.41296257828247
78,288345.6666666667,218.41296257828247
79,288345.6666666667,218.41296257828247
80,288363.6666666667,198.40418902387677
81,288363.6666666667,198.40418902387677
82,288492.3333333333,172.92837309771411
83,288499.6666666667,182.86303313925666
84,288499.6666666667,182.86303313925666
85,288499.6666666667,182.86303313925666
86,288499.6666666667,182.86303313925666
87,288499.6666666667,182.86303313925666
88,288499.6666666667,182.86303313925666
89,288499.6666666667,182.86303313925666
90,288499.6666666667,182.86303313925666
91,288519.0,178.33115263464205
92,288519.0,178.33115263464205
93,288526.3333333333,177.6857400643682
94,288541.0,178.20774393948204
95,288593.6666666667,207.4549482551707
96,288641.3333333333,144.30831191892202
97,288687.3333333333,163.62830507654297
98,288687.3333333333,163.62830507654297
