iter,eval_mean,eval_std
0,222977.0,0.0
1,223289.66666666666,256.38686047109013
2,223665.33333333334,588.2019683370293
3,223989.66666666666,725.5201965180264
4,224661.0,916.2415984153233
5,224823.0,890.0531819316566
6,225019.0,925.0744114214092
7,225652.66666666666,1295.9594472393374
8,226216.0,1192.2046804135605
9,226241.0,1168.4613814756567
10,226675.0,1229.533515877736
11,226904.66666666666,1185.1476232473694
12,226979.66666666666,1189.6532641441745
13,227200.33333333334,1053.3680374029877
14,227376.66666666666,1252.0514721403786
15,227376.66666666666,1252.0514721403786
16,227376.66666666666,1252.0514721403786
17,227669.0,1612.9292193604363
18,228161.0,1579.7444941086728
19,228522.0,1250.3202256488803
20,228915.66666666666,1180.8091387782456
21,228915.66666666666,1180.8091387782456
22,228927.66666666666,1194.382778769948
23,229129.66666666666,1259.7908115591608
24,229129.66666666666,1259.7908115591608
25,229129.66666666666,1259.7908115591608
26,229239.66666666666,1320.2750555176835
27,229723.33333333334,1256.4448080021484
28,229723.33333333334,1256.4448080021484
29,229950.66666666666,943.791761401258
30,229950.66666666666,943.791761401258
31,229950.66666666666,943.791761401258
32,229962.66666666666,955.9868664834727
33,229962.66666666666,955.9868664834727
34,229962.66666666666,955.9868664834727
35,229962.66666666666,955.9868664834727
36,229962.66666666666,955.9868664834727
37,230007.0,972.7510815551256
38,230007.0,972.7510815551256
39,230153.0,1052.7604982457628
40,230528.66666666666,522.0838587387619
41,230528.66666666666,522.0838587387619
42,230528.66666666666,522.0838587387619
43,230528.66666666666,522.0838587387619
44,230528.66666666666,522.0838587387619
45,230528.66666666666,522.0838587387619
46,230793.66666666666,611.0059101369005
47,230793.66666666666,611.0059101369005
48,230793.66666666666,611.0059101369005
49,230793.66666666666,611.0059101369005
50,230793.66666666666,611.0059101369005
51,230793.66666666666,611.0059101369005
52,230793.66666666666,611.0059101369005
53,230793.66666666666,611.0059101369005
54,230793.66666666666,611.0059101369005
55,230793.66666666666,611.0059101369005
56,230793.66666666666,611.0059101369005
57,231075.33333333334,307.3730993796013
58,231075.33333333334,307.3730993796013
59,231075.33333333334,307.3730993796013
60,231075.33333333334,307.3730993796013
61,231178.66666666666,453.5029094602249
62,231178.66666666666,453.5029094602249
63,231273.33333333334,402.6390719021469
64,231285.0,399.03968056656555
65,231285.0,399.03968056656555
66,231475.0,265.8809257292946
67,231475.0,265.8809257292946
68,231475.0,265.8809257292946
69,231475.0,265.8809257292946
70,231702.33333333334,191.68782491911745
71,231702.33333333334,191.68782491911745
72,231702.33333333334,191.68782491911745
73,231702.33333333334,191.68782491911745
74,231702.33333333334,191.68782491911745
75,231702.33333333334,191.68782491911745
76,231843.33333333334,16.49915822768611
77,231843.33333333334,16.49915822768611
78,231843.33333333334,16.49915822768611
79,231843.33333333334,16.49915822768611
80,231843.33333333334,16.49915822768611
81,231843.33333333334,16.49915822768611
82,231843.33333333334,16.49915822768611
83,231843.33333333334,16.49915822768611
84,231843.33333333334,16.49915822768611
85,231843.33333333334,16.49915822768611
86,231843.33333333334,16.49915822768611
87,231843.33333333334,16.49915822768611
88,231843.33333333334,16.49915822768611
89,231843.33333333334,16.49915822768611
90,231843.33333333334,16.49915822768611
91,231843.33333333334,16.49915822768611
92,231843.33333333334,16.49915822768611
93,231843.33333333334,16.49915822768611
94,231843.33333333334,16.49915822768611
95,231843.33333333334,16.49915822768611
96,231843.33333333334,16.49915822768611
97,231843.33333333334,16.49915822768611
98,231855.0,0.0
99,231855.0,0.0
100,231855.0,0.0
101,231855.0,0.0
102,231855.0,0.0
103,231855.0,0.0
104,231855.0,0.0
105,231855.0,0.0
106,231855.0,0.0
107,231855.0,0.0
108,231855.0,0.0
109,231855.0,0.0
110,231855.0,0.0
111,231855.0,0.0
112,231855.0,0.0
113,231855.0,0.0
114,231855.0,0.0
115,231855.0,0.0
116,231855.0,0.0
117,231855.0,0.0
118,231855.0,0.0
119,231855.0,0.0
120,231855.0,0.0
121,231855.0,0.0
122,231855.0,0.0
123,231855.0,0.0
124,231855.0,0.0
125,231855.0,0.0
126,231855.0,0.0
127,231855.0,0.0
128,231855.0,0.0
129,231855.0,0.0
130,231855.0,0.0
131,231855.0,0.0
132,231855.0,0.0
133,231855.0,0.0
134,231855.0,0.0
135,231855.0,0.0
136,231855.0,0.0
137,231855.0,0.0
138,231855.0,0.0
139,231855.0,0.0
140,231855.0,0.0
141,231855.0,0.0
142,231855.0,0.0
143,231855.0,0.0
144,231855.0,0.0
145,231855.0,0.0
146,231855.0,0.0
147,231855.0,0.0
148,231855.0,0.0
149,231855.0,0.0
150,231855.0,0.0
151,231855.0,0.0
152,231855.0,0.0
153,231855.0,0.0
154,231855.0,0.0
155,231855.0,0.0
156,231855.0,0.0
157,231855.0,0.0
158,231855.0,0.0
159,231855.0,0.0
160,231855.0,0.0
161,231855.0,0.0
162,231855.0,0.0
163,231855.0,0.0
164,231855.0,0.0
165,231855.0,0.0
166,231855.0,0.0
167,231855.0,0.0
168,231855.0,0.0
169,231855.0,0.0
170,231855.0,0.0
171,231855.0,0.0
172,231855.0,0.0
173,231855.0,0.0
174,231855.0,0.0
175,231855.0,0.0
176,231855.0,0.0
177,231855.0,0.0
178,231855.0,0.0
