value_mean,value_std,time_mean,time_std,board_config_id
63310.0,5225.3213776762095,0.0838372058002278,0.004469662697420215,0
64283.4,6260.225978349345,0.369811470399145,0.01028176563363833,0
97875.2,5297.426894257248,0.27997265800004245,0.05292077235323916,1
99584.0,6174.859067217648,0.9163116925992654,0.11454844071099292,1
129755.4,2994.7285018846037,0.3726212905989087,0.1068533397393395,2
133245.0,3031.70496585667,1.5818837935992633,0.14416707723820193,2
160788.2,3159.593043415557,0.49403682979973385,0.009492981088912757,3
164052.4,3551.1691455068703,2.4912302206001185,0.054736193331480165,3
202899.4,5498.0734171162185,0.7627400591998594,0.01912550159109136,4
208972.8,6422.44806907771,4.101399980000133,0.3294592634862474,4
232234.6,3762.9021778409274,1.0836581007999484,0.01718974201095681,5
237438.8,4227.471549283329,5.475265320399194,0.12972649674711556,5
265125.8,1906.5452263190646,1.459196314800647,0.0281704035987597,6
271613.4,2719.407527385325,7.621196718800638,0.23607522455842767,6
292734.4,3916.5550934462876,1.9599088103983378,0.04281753462268827,7
298789.8,5649.298779494672,10.273679314600304,0.12149014337995961,7
327189.8,5644.771802296347,2.4605189592002716,0.08530393071490788,8
333547.2,7019.201108388337,13.099971334599832,0.36636919155347797,8
