value_mean,value_std,time_mean,time_std,board_config_id
63310.0,5225.3213776762095,0.21202553179973616,0.010672952532962866,0
64283.4,6260.225978349345,0.300354291399708,0.005564096906360288,0
97875.2,5297.426894257248,0.5540448420004396,0.06434267595343954,1
99584.0,6174.859067217648,0.7011122714007797,0.04176306772233346,1
129755.4,2994.7285018846037,1.2088849555999333,0.1959577369156927,2
133245.0,3031.70496585667,1.6025823288000538,0.12243051962347,2
160788.2,3159.593043415557,2.338987594799255,0.18257662852498638,3
164052.4,3551.1691455068703,3.045096680800634,0.041031388953546695,3
202899.4,5498.0734171162185,3.519298422999418,0.36287369275829406,4
208972.8,6422.44806907771,4.766483946399967,0.2127716037426043,4
232234.6,3762.9021778409274,5.479861592600355,0.14956460766864907,5
237438.8,4227.471549283329,6.991449648801063,0.1979295261195368,5
265125.8,1906.5452263190646,7.707531212999311,0.1667289644605556,6
271613.4,2719.407527385325,9.792507204999856,0.20569348191514036,6
292734.4,3916.5550934462876,10.164805041000363,0.33890529132245417,7
298789.8,5649.298779494672,12.979779873800727,0.24658812434594277,7
327189.8,5644.771802296347,13.435783516800438,0.6761482273186092,8
333547.2,7019.201108388337,16.59448923740056,0.5674260180234295,8
