value_mean,value_std,time_mean,time_std,board_config_id
62896.333333333336,4979.267004412855,0.1748608325329163,0.021769689018070894,0
64281.6,5898.829473340922,0.22649018106652266,0.05356115417420691,0
97341.66666666667,5125.630430360921,0.36043338493327604,0.016676323038512707,1
99553.73333333334,5834.1441358206885,0.3911281861995424,0.013789748056876874,1
129180.66666666666,2599.56679201994,0.6428203979332465,0.03810318494477346,2
133207.6,2851.4163809899437,0.8374639832664494,0.12575584134025491,2
160136.3333333333,3124.5091742939258,1.0316416781999578,0.18582047598873672,3
163978.93333333335,3423.079051467046,1.1797342352663691,0.09813132421216854,3
202416.5333333333,5136.444485785426,1.5108191566000946,0.09041686573517656,4
208956.8,6043.124372191734,1.8087388111996308,0.10933709116591858,4
231676.26666666666,3322.544877679987,1.8696004902002947,0.06304500526885014,5
237384.5333333333,3904.2069908190615,2.3741563782001323,0.23129266952393412,5
264589.4666666667,1764.4490428151762,2.6361685852668115,0.09114351931683926,6
271594.4,2568.3771443375654,3.1477975115997348,0.0956381910397769,6
292214.2666666667,3729.9203870628453,3.1900642765334246,0.11316441075748672,7
298789.8,5326.209967906095,3.7744489775335146,0.24170468686881152,7
326661.93333333335,5344.121553655674,3.681668460066188,0.30488444280914817,8
333501.6666666667,6664.173889510225,4.202361898466673,0.5305658908065057,8
