algo,board_id,board_config_id,max_cards_percent,n_iter,region_percent_size,num_trials,value_mean,value_std,value_min,value_max,time_mean,time_std
greedy,0,0,0.1,200,0.05,3,159911.0,0.0,159911,159911,1.5392214573342546,0.11019957181117734
greedy,0,0,0.2,200,0.05,3,270034.6666666667,36.29814810090944,270009,270086,2.703553200333166,0.06920793684446326
greedy,0,0,0.30000000000000004,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.6424369723342047,0.11268710185634853
greedy,0,0,0.4,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.524662720666432,0.32201126865966245
greedy,0,0,0.5,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.7530738020007752,0.21032545372861225
greedy,0,0,0.6,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.550771155999731,0.16980746917936104
greedy,0,0,0.7000000000000001,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.560986921666578,0.20470405049966597
greedy,0,0,0.8,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.632445347334093,0.5437288797517129
greedy,0,0,0.9,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.68430463700012,0.25451057035366925
greedy,0,0,1.0,200,0.05,3,304595.3333333333,57.51135153650587,304514,304636,3.538116389667266,0.11194431393296647
greedy,1,0,0.1,200,0.05,3,159869.0,0.0,159869,159869,1.4600697599998966,0.14681598987664193
greedy,1,0,0.2,200,0.05,3,265564.6666666667,61.64594246357357,265489,265640,2.6972786026659983,0.22266563878631287
greedy,1,0,0.30000000000000004,200,0.05,3,292511.0,0.0,292511,292511,3.5064305776662272,0.2765563922655385
greedy,1,0,0.4,200,0.05,3,292511.0,0.0,292511,292511,3.3629500360002567,0.11252929031094992
greedy,1,0,0.5,200,0.05,3,292511.0,0.0,292511,292511,4.165970033331784,0.39314995673754227
greedy,1,0,0.6,200,0.05,3,292511.0,0.0,292511,292511,3.61111727666624,0.3073363313159727
greedy,1,0,0.7000000000000001,200,0.05,3,292511.0,0.0,292511,292511,3.681722562334471,0.3322923453440081
greedy,1,0,0.8,200,0.05,3,292511.0,0.0,292511,292511,3.8065835403334254,0.31394212289487505
greedy,1,0,0.9,200,0.05,3,292511.0,0.0,292511,292511,3.5894213533332127,0.11314752888478148
greedy,1,0,1.0,200,0.05,3,292511.0,0.0,292511,292511,3.849917411668381,0.06191097924392454
greedy,2,0,0.1,200,0.05,3,158949.0,0.0,158949,158949,1.4319156469997931,0.10691185539665075
greedy,2,0,0.2,200,0.05,3,262930.0,0.0,262930,262930,2.70772127266658,0.19593540572616314
greedy,2,0,0.30000000000000004,200,0.05,3,295280.0,0.0,295280,295280,3.726331500666371,0.14858660869502235
greedy,2,0,0.4,200,0.05,3,295280.0,0.0,295280,295280,3.9541942093334606,0.35367031539296506
greedy,2,0,0.5,200,0.05,3,295280.0,0.0,295280,295280,3.671745166667582,0.06609578896111719
greedy,2,0,0.6,200,0.05,3,295280.0,0.0,295280,295280,3.4182897020000382,0.07478949533720013
greedy,2,0,0.7000000000000001,200,0.05,3,295280.0,0.0,295280,295280,3.709186169999157,0.056465163026980354
greedy,2,0,0.8,200,0.05,3,295280.0,0.0,295280,295280,4.083193428665254,0.3569051976123467
greedy,2,0,0.9,200,0.05,3,295280.0,0.0,295280,295280,3.6689657463321055,0.22504470152588976
greedy,2,0,1.0,200,0.05,3,295280.0,0.0,295280,295280,4.1058157169997385,0.4415111739513293
greedy,3,0,0.1,200,0.05,3,157567.0,0.0,157567,157567,1.8445492879994465,0.23115224764157433
greedy,3,0,0.2,200,0.05,3,262241.6666666667,95.33566430716728,262115,262345,3.0686532776659683,0.41274667801224935
greedy,3,0,0.30000000000000004,200,0.05,3,297701.0,0.0,297701,297701,3.4235985086670553,0.042526108629103866
greedy,3,0,0.4,200,0.05,3,297701.0,0.0,297701,297701,3.4272062926684157,0.07260807216650786
greedy,3,0,0.5,200,0.05,3,297701.0,0.0,297701,297701,3.6218473870018593,0.03200713964533529
greedy,3,0,0.6,200,0.05,3,297701.0,0.0,297701,297701,3.7535000636659483,0.31109818422008434
greedy,3,0,0.7000000000000001,200,0.05,3,297701.0,0.0,297701,297701,3.6811771809989295,0.05699884324629305
greedy,3,0,0.8,200,0.05,3,297701.0,0.0,297701,297701,3.9522152493324634,0.42605028177884563
greedy,3,0,0.9,200,0.05,3,297701.0,0.0,297701,297701,3.8391692176664947,0.1087073224304258
greedy,3,0,1.0,200,0.05,3,297701.0,0.0,297701,297701,3.4534731236672087,0.13348186912861343
greedy,4,0,0.1,200,0.05,3,155747.0,0.0,155747,155747,1.3733592566665418,0.05904380246349269
greedy,4,0,0.2,200,0.05,3,256045.66666666666,27.010286106510527,256008,256070,2.988054361333828,0.3529618483176754
greedy,4,0,0.30000000000000004,200,0.05,3,284826.0,0.0,284826,284826,3.835567641667391,0.22238055392122205
greedy,4,0,0.4,200,0.05,3,284826.0,0.0,284826,284826,4.013417346332669,0.22166070671427626
greedy,4,0,0.5,200,0.05,3,284826.0,0.0,284826,284826,3.923955068000699,0.13494344556537766
greedy,4,0,0.6,200,0.05,3,284826.0,0.0,284826,284826,3.8556097766680373,0.4684728738549695
greedy,4,0,0.7000000000000001,200,0.05,3,284826.0,0.0,284826,284826,3.9494951340008506,0.22243671348261812
greedy,4,0,0.8,200,0.05,3,284826.0,0.0,284826,284826,3.7425678119992276,0.06985636592320531
greedy,4,0,0.9,200,0.05,3,284826.0,0.0,284826,284826,3.8934261963343793,0.26775878315901946
