algo,board_id,board_config_id,max_cards_percent,value,time
dynamic-top-down,0,0,0.1,159911,3.946165972000017
dynamic-top-down,0,0,0.2,270392,7.815330844001437
dynamic-top-down,0,0,0.30000000000000004,304636,10.974272636001842
dynamic-top-down,0,0,0.4,304636,13.229674812999292
dynamic-top-down,0,0,0.5,304636,13.514377031002368
dynamic-top-down,0,0,0.6,304636,13.402876931999344
dynamic-top-down,0,0,0.7000000000000001,304636,12.613244860000123
dynamic-top-down,0,0,0.8,304636,11.314289197998733
dynamic-top-down,0,0,0.9,304636,13.795579985999211
dynamic-top-down,0,0,1.0,304636,13.655781082998146
dynamic-top-down,1,0,0.1,159918,5.584542027001589
dynamic-top-down,1,0,0.2,265921,7.371458664001693
dynamic-top-down,1,0,0.30000000000000004,292511,10.770668821001891
dynamic-top-down,1,0,0.4,292511,12.835625171999709
dynamic-top-down,1,0,0.5,292511,12.876124366997828
dynamic-top-down,1,0,0.6,292511,12.972430965000967
dynamic-top-down,1,0,0.7000000000000001,292511,13.861745268997765
dynamic-top-down,1,0,0.8,292511,13.894648461999168
dynamic-top-down,1,0,0.9,292511,13.566039281002304
dynamic-top-down,1,0,1.0,292511,12.883249734000856
dynamic-top-down,2,0,0.1,158952,5.881956662000448
dynamic-top-down,2,0,0.2,263032,7.572597189002408
dynamic-top-down,2,0,0.30000000000000004,295280,10.432829993002088
dynamic-top-down,2,0,0.4,295280,12.833056157000101
dynamic-top-down,2,0,0.5,295280,13.627890517000196
dynamic-top-down,2,0,0.6,295280,13.889608487999794
dynamic-top-down,2,0,0.7000000000000001,295280,12.833324013998208
dynamic-top-down,2,0,0.8,295280,13.338214634997712
dynamic-top-down,2,0,0.9,295280,13.82070681299956
dynamic-top-down,2,0,1.0,295280,13.762256365000212
dynamic-top-down,3,0,0.1,157567,5.481477157998597
dynamic-top-down,3,0,0.2,262417,8.031639032000385
dynamic-top-down,3,0,0.30000000000000004,297701,11.226223906000087
dynamic-top-down,3,0,0.4,297701,12.28707896600099
dynamic-top-down,3,0,0.5,297701,13.90319260799879
dynamic-top-down,3,0,0.6,297701,13.17698564499733
dynamic-top-down,3,0,0.7000000000000001,297701,13.828203203000157
dynamic-top-down,3,0,0.8,297701,13.719335883000895
dynamic-top-down,3,0,0.9,297701,13.460852150001301
dynamic-top-down,3,0,1.0,297701,12.660772103001364
dynamic-top-down,4,0,0.1,155747,5.752599087998533
dynamic-top-down,4,0,0.2,256181,8.16603299399867
dynamic-top-down,4,0,0.30000000000000004,284826,11.358301939999365
dynamic-top-down,4,0,0.4,284826,12.307338070997503
dynamic-top-down,4,0,0.5,284826,14.073348161000467
dynamic-top-down,4,0,0.6,284826,12.794655446999968
dynamic-top-down,4,0,0.7000000000000001,284826,13.726931762997992
dynamic-top-down,4,0,0.8,284826,13.906107301001612
dynamic-top-down,4,0,0.9,284826,13.471380142000271
dynamic-top-down,4,0,1.0,284826,12.714437317001284
dynamic-top-down,5,0,0.1,159827,5.742142293998768
dynamic-top-down,5,0,0.2,269227,7.79749345899836
dynamic-top-down,5,0,0.30000000000000004,298921,10.584267368998553
dynamic-top-down,5,0,0.4,298921,12.89824999800112
dynamic-top-down,5,0,0.5,298921,13.866071704000206
dynamic-top-down,5,0,0.6,298921,13.662783951000165
dynamic-top-down,5,0,0.7000000000000001,298921,13.494109757000842
dynamic-top-down,5,0,0.8,298921,12.859835112001747
dynamic-top-down,5,0,0.9,298921,13.776156205000007
dynamic-top-down,5,0,1.0,298921,13.94544139899881
dynamic-top-down,6,0,0.1,162075,5.467016155002057
dynamic-top-down,6,0,0.2,272543,8.0077507720016
dynamic-top-down,6,0,0.30000000000000004,310675,10.817496837000363
dynamic-top-down,6,0,0.4,310675,12.881814545999077
dynamic-top-down,6,0,0.5,310675,13.322771393999574
dynamic-top-down,6,0,0.6,310675,13.088123561999964
dynamic-top-down,6,0,0.7000000000000001,310675,13.515518029002124
dynamic-top-down,6,0,0.8,310675,14.456625031998556
dynamic-top-down,6,0,0.9,310675,13.38097977200232
dynamic-top-down,6,0,1.0,310675,13.436935106001329
